id,pathway_id,pathway_slug,pathway_title,step_number,title,description,type,is_optional
1109bdea-d419-49ff-acdf-e4dfe75c54a1,003896b6-71a8-4006-b0c3-0b96c514ab5b,provincial-nominee,Provincial Nominee Program,1,Choose a Province and Stream,"Research provincial nomination streams that match your skills, work experience, education level, and intended destination. Each province has unique eligibility criteria and targeted occupations.",information,false
c01c627b-d4c7-4a34-aa3b-127bbdefff6b,003896b6-71a8-4006-b0c3-0b96c514ab5b,provincial-nominee,Provincial Nominee Program,2,Submit Provincial Application,"Apply directly to your chosen provincial government stream. If successful, you receive a Provincial Nomination Certificate (PNC) which significantly boosts your CRS score in Express Entry or allows a paper-based PR application.",information,false
74b12ffd-209c-4a16-98ba-a7d637893fd1,003896b6-71a8-4006-b0c3-0b96c514ab5b,provincial-nominee,Provincial Nominee Program,3,Apply for Permanent Residency,"Use your Provincial Nomination Certificate to apply for Canadian PR, either through Express Entry (enhanced nomination adds 600 CRS points) or the paper-based PNP stream.",information,false
ef0c3445-bb3a-4517-a0b2-56286c551a8b,a2e0333a-7861-41db-b196-d18c292895bb,canada-rnip,Rural and Northern Immigration Pilot (RNIP),1,Check eligibility requirements,Verify that you meet both IRCC eligibility requirements and the community-specific requirements for the participating community you are interested in.,information,false
1f58300f-0611-4fcd-8dc7-c97f66614e8a,a2e0333a-7861-41db-b196-d18c292895bb,canada-rnip,Rural and Northern Immigration Pilot (RNIP),2,Find an eligible job,Secure a genuine job offer with an employer in one of the 11 participating rural or northern communities that meets the community's employment criteria.,information,false
962cf2c0-1ada-45c2-9849-64afe3e8090f,a2e0333a-7861-41db-b196-d18c292895bb,canada-rnip,Rural and Northern Immigration Pilot (RNIP),3,Submit community recommendation application,Submit your application for community recommendation once you have a valid job offer from an eligible employer in a participating community.,information,false
d5805a60-d01a-4a25-93e0-674dd301b29b,a2e0333a-7861-41db-b196-d18c292895bb,canada-rnip,Rural and Northern Immigration Pilot (RNIP),4,Receive community recommendation,"Wait for the community to assess your candidacy based on economic fit, genuine employment opportunity, and intention to stay in the community.",information,false
4394c4d7-3403-452c-846d-6443ee5fe2f9,a2e0333a-7861-41db-b196-d18c292895bb,canada-rnip,Rural and Northern Immigration Pilot (RNIP),5,Apply for permanent residence,"If the community recommends you, submit your permanent residence application to IRCC for final decision on your PR status.",information,false
10c6cc02-26e7-40ec-82bd-a6afcfb61682,a2e0333a-7861-41db-b196-d18c292895bb,canada-rnip,Rural and Northern Immigration Pilot (RNIP),6,Apply for work permit (optional),"If eligible, submit an application for a work permit to allow you to work in Canada while your permanent residence application is being processed.",information,true
01e8bf2b-ff44-479a-86da-f49391b41883,f469574d-8591-404e-bc9c-6f085472f6c0,canada-startup-visa,Start-up Visa Program,1,Obtain letter of support from designated organization,"Contact an approved designated organization and convince them your business idea is worth supporting. The organization will assess your proposal and issue a letter of support, along with sending a commitment certificate to IRCC.",information,false
2bbabf73-7db2-440d-9a2c-7a221b6db6f5,f469574d-8591-404e-bc9c-6f085472f6c0,canada-startup-visa,Start-up Visa Program,2,Verify language proficiency requirement,"Take a language test with an approved agency and achieve Canadian Language Benchmark 5 in all bands (listening, reading, writing, speaking) in English or French.",information,false
db205edb-66c8-4f1d-aa40-51056018dd34,f469574d-8591-404e-bc9c-6f085472f6c0,canada-startup-visa,Start-up Visa Program,3,Gather and prepare all required documents,"Compile supporting documents including passport, language test results, letter of support, birth certificates, identity documents, police certificates, and proof of settlement funds. Translate and certify any documents not in English or French.",information,false
fa355689-0764-4505-a613-7bec7bdddad5,f469574d-8591-404e-bc9c-6f085472f6c0,canada-startup-visa,Start-up Visa Program,4,Create account and access PR Portal,Create an account or sign in to the Permanent Residence (PR) Portal. The Start-up Visa Program is called Start-Up Business Class in the portal.,information,false
83d08a86-e24f-4044-8379-373b8e38c291,f469574d-8591-404e-bc9c-6f085472f6c0,canada-startup-visa,Start-up Visa Program,5,Complete and upload application forms and documents,"Fill out all required digital forms (IMM 0008, IMM 5669, IMM 5406, IMM 5562) and upload all supporting documents using the document checklist to ensure completeness.",information,false
2d312b83-a11f-4411-bcf0-a8004cc775a3,f469574d-8591-404e-bc9c-6f085472f6c0,canada-startup-visa,Start-up Visa Program,6,Pay application fees online,"Pay processing fees for yourself and any dependants, biometrics fee, right of permanent residence fee (if applicable), and any fees for medical exam and police certificates.",information,false
19afe247-c5aa-42b0-b23f-ce0407ed340e,f469574d-8591-404e-bc9c-6f085472f6c0,canada-startup-visa,Start-up Visa Program,7,Submit application through PR Portal,"Submit your completed application online through the PR Portal. Verify all questions are answered, fee receipt is included, and all supporting documents are uploaded. If part of a team, ensure all business partners submit their applications.",information,false
36d11947-94e0-4c5b-a6cf-ef254d4fe700,f469574d-8591-404e-bc9c-6f085472f6c0,canada-startup-visa,Start-up Visa Program,8,Respond to completeness check and requests for missing documents,"Monitor your email for notifications from IRCC. If application is incomplete, IRCC will notify you of missing items. Fix errors and re-submit as instructed.",information,true
